Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type,lat,lon
1012,20/09/2010 11:27,20/09/2010 11:43,31208,M St & New Jersey Ave SE,31108,4th & M St SW,W00742,Member,38.8762997,-77.0037
61,20/09/2010 11:41,20/09/2010 11:42,31209,1st & N St  SE,31209,1st & N St  SE,W00032,Member,38.8742997,-77.0057
2690,20/09/2010 12:05,20/09/2010 12:50,31600,5th & K St NW,31100,19th St & Pennsylvania Ave NW,W00993,Member,38.9025842,-77.0556545
1406,20/09/2010 12:06,20/09/2010 12:29,31600,5th & K St NW,31602,Park Rd & Holmead Pl NW,W00344,Member,38.9025842,-77.0556545
1413,20/09/2010 12:10,20/09/2010 12:34,31100,19th St & Pennsylvania Ave NW,31201,15th & P St NW,W00883,Member,38.9002997,-77.0429
982,20/09/2010 12:14,20/09/2010 12:30,31109,7th & T St NW,31200,Massachusetts Ave & Dupont Circle NW,W00850,Member,38.9154997,-77.0222
930,20/09/2010 12:15,20/09/2010 12:30,31109,7th & T St NW,31105,14th & Harvard St NW,W00804,Member,38.9154997,-77.0222
1659,20/09/2010 12:16,20/09/2010 12:44,31111,10th & U St NW,31208,M St & New Jersey Ave SE,W01084,Member,38.9171997,-77.0259
2496,20/09/2010 12:18,20/09/2010 13:00,31600,5th & K St NW,31601,19th & East Capitol St SE,W00812,Member,38.9025842,-77.0556545
1487,20/09/2010 12:19,20/09/2010 12:44,31703,Minnesota Ave Metro/DOES,31603,1st & M St NE,W00803,Member,38.8970883,-76.9476765
1007,20/09/2010 12:21,20/09/2010 12:38,31500,4th & W St NE,31200,Massachusetts Ave & Dupont Circle NW,W00256,Member,38.9190848,-77.0006503
1159,20/09/2010 12:26,20/09/2010 12:45,31603,1st & M St NE,31603,1st & M St NE,W01023,Member,38.9056997,-77.0056
88,20/09/2010 12:31,20/09/2010 12:32,31602,Park Rd & Holmead Pl NW,31602,Park Rd & Holmead Pl NW,W00472,Member,38.9308232,-77.0315137
202,20/09/2010 12:33,20/09/2010 12:36,31105,14th & Harvard St NW,31103,16th & Harvard St NW,W00685,Member,38.9267997,-77.0322
1407,20/09/2010 12:39,20/09/2010 13:02,31101,14th & V St NW,31100,19th St & Pennsylvania Ave NW,W00930,Member,38.9175997,-77.0321
351,20/09/2010 12:39,20/09/2010 12:45,31103,16th & Harvard St NW,31104,Adams Mill & Columbia Rd NW,W00685,Member,38.9261399,-77.0366677
416,20/09/2010 12:40,20/09/2010 12:47,31105,14th & Harvard St NW,31207,Georgia Ave and Fairmont St NW,W00476,Member,38.9267997,-77.0322
2988,20/09/2010 12:41,20/09/2010 13:31,31206,19th & E Street NW,31603,1st & M St NE,W00955,Member,42.67956313,-75.49274291
636,20/09/2010 12:42,20/09/2010 12:52,31002,20th & Crystal Dr,31003,15th & Crystal Dr,W01066,Member,38.8563997,-77.0492
509,20/09/2010 13:07,20/09/2010 13:16,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W00824,Member,38.9007997,-77.047
638,20/09/2010 13:13,20/09/2010 13:23,31201,15th & P St NW,31200,Massachusetts Ave & Dupont Circle NW,W00883,Member,38.9098497,-77.034438
763,20/09/2010 13:16,20/09/2010 13:29,31602,Park Rd & Holmead Pl NW,31109,7th & T St NW,W01029,Member,38.9308232,-77.0315137
387,20/09/2010 13:20,20/09/2010 13:27,31009,27th & Crystal Dr,31009,27th & Crystal Dr,W00821,Member,38.8484407,-77.051516
1409,20/09/2010 13:22,20/09/2010 13:46,31600,5th & K St NW,31100,19th St & Pennsylvania Ave NW,W00833,Member,38.9025842,-77.0556545
1254,20/09/2010 13:27,20/09/2010 13:48,31002,20th & Crystal Dr,31012,26th & S Clark St,W01123,Member,38.8563997,-77.0492
1238,20/09/2010 13:28,20/09/2010 13:48,31002,20th & Crystal Dr,31012,26th & S Clark St,W01034,Member,38.8563997,-77.0492
277,20/09/2010 13:30,20/09/2010 13:34,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00796,Member,38.9232108,-77.0476393
1532,20/09/2010 13:34,20/09/2010 13:59,31200,Massachusetts Ave & Dupont Circle NW,31600,5th & K St NW,W00883,Member,38.9100997,-77.0444
759,20/09/2010 13:40,20/09/2010 13:53,31104,Adams Mill & Columbia Rd NW,31202,14th & R St NW,W00796,Member,38.9230444,-77.0425553
433,20/09/2010 13:55,20/09/2010 14:02,31011,23rd & Crystal Dr,31011,23rd & Crystal Dr,W00764,Member,38.8532997,-77.0498
329,20/09/2010 14:18,20/09/2010 14:24,31100,19th St & Pennsylvania Ave NW,31206,19th & E Street NW,W00868,Member,38.9002997,-77.0429
775,20/09/2010 14:23,20/09/2010 14:36,31200,Massachusetts Ave & Dupont Circle NW,31602,Park Rd & Holmead Pl NW,W00775,Member,38.9100997,-77.0444
3044,20/09/2010 14:28,20/09/2010 15:19,31100,19th St & Pennsylvania Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00993,Casual,38.9002997,-77.0429
1438,20/09/2010 14:45,20/09/2010 15:09,31000,Eads St & 15th St S,31002,20th & Crystal Dr,W00570,Casual,38.8589788,-77.0532323
597,20/09/2010 14:49,20/09/2010 14:59,31202,14th & R St NW,31200,Massachusetts Ave & Dupont Circle NW,W00796,Member,38.9126963,-77.03167
1492,20/09/2010 14:54,20/09/2010 15:19,31603,1st & M St NE,31500,4th & W St NE,W01103,Member,38.9056997,-77.0056
956,20/09/2010 15:01,20/09/2010 15:17,31101,14th & V St NW,31204,20th & E St NW,W01058,Member,38.9175997,-77.0321
1185,20/09/2010 15:05,20/09/2010 15:25,31212,21st & M St NW,31212,21st & M St NW,W01069,Member,38.9053609,-77.0467762
127,20/09/2010 15:08,20/09/2010 15:10,31603,1st & M St NE,31603,1st & M St NE,?(0x000000004752DD3A),Member,38.9056997,-77.0056
1207,20/09/2010 15:24,20/09/2010 15:44,31206,19th & E Street NW,31209,1st & N St  SE,W00868,Member,42.67956313,-75.49274291
2228,20/09/2010 15:27,20/09/2010 16:05,31104,Adams Mill & Columbia Rd NW,31209,1st & N St  SE,W00685,Member,38.9230444,-77.0425553
3820,20/09/2010 15:29,20/09/2010 16:33,31200,Massachusetts Ave & Dupont Circle NW,31206,19th & E Street NW,W00977,Casual,38.9100997,-77.0444
1168,20/09/2010 15:30,20/09/2010 15:49,31100,19th St & Pennsylvania Ave NW,31600,5th & K St NW,W00930,Member,38.9002997,-77.0429
566,20/09/2010 15:35,20/09/2010 15:45,31101,14th & V St NW,31207,Georgia Ave and Fairmont St NW,W00960,Member,38.9175997,-77.0321
631,20/09/2010 15:38,20/09/2010 15:49,31111,10th & U St NW,31200,Massachusetts Ave & Dupont Circle NW,W00958,Member,38.9171997,-77.0259
604,20/09/2010 15:43,20/09/2010 15:53,31100,19th St & Pennsylvania Ave NW,31203,14th & Rhode Island Ave NW,W00563,Casual,38.9002997,-77.0429
1488,20/09/2010 15:51,20/09/2010 16:16,31208,M St & New Jersey Ave SE,31600,5th & K St NW,W01084,Member,38.8762997,-77.0037
7275,20/09/2010 15:57,20/09/2010 17:58,31100,19th St & Pennsylvania Ave NW,31103,16th & Harvard St NW,W00976,Member,38.9002997,-77.0429
1959,20/09/2010 16:17,20/09/2010 16:49,31200,Massachusetts Ave & Dupont Circle NW,31108,4th & M St SW,W00256,Casual,38.9100997,-77.0444
310,20/09/2010 16:21,20/09/2010 16:26,31100,19th St & Pennsylvania Ave NW,31100,19th St & Pennsylvania Ave NW,W00159,Member,38.9002997,-77.0429
407,20/09/2010 16:22,20/09/2010 16:29,31111,10th & U St NW,31201,15th & P St NW,W00642,Member,38.9171997,-77.0259
1145,20/09/2010 16:23,20/09/2010 16:42,31003,15th & Crystal Dr,31009,27th & Crystal Dr,W00999,Casual,38.8601822,-77.0496649
730,20/09/2010 16:29,20/09/2010 16:41,31600,5th & K St NW,31202,14th & R St NW,W01084,Member,38.9025842,-77.0556545
907,20/09/2010 16:31,20/09/2010 16:46,31100,19th St & Pennsylvania Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00842,Member,38.9002997,-77.0429
1406,20/09/2010 16:32,20/09/2010 16:56,31600,5th & K St NW,31107,Lamont & Mt Pleasant NW,W00883,Member,38.9025842,-77.0556545
381,20/09/2010 16:35,20/09/2010 16:42,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00745,Member,38.9100997,-77.0444
548,20/09/2010 16:37,20/09/2010 16:46,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00850,Member,38.9100997,-77.0444
557,20/09/2010 16:45,20/09/2010 16:54,31009,27th & Crystal Dr,31002,20th & Crystal Dr,W01079,Casual,38.8484407,-77.051516
855,20/09/2010 16:51,20/09/2010 17:05,31111,10th & U St NW,31104,Adams Mill & Columbia Rd NW,?(0x000000007C120F6A),Member,38.9171997,-77.0259
1733,20/09/2010 16:55,20/09/2010 17:23,31802,Good Hope Rd & MLK Ave SE,31600,5th & K St NW,W00911,Member,38.8673727,-76.988039
4954,20/09/2010 16:56,20/09/2010 18:18,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00322,Casual,38.9100997,-77.0444
1283,20/09/2010 16:57,20/09/2010 17:18,31603,1st & M St NE,31600,5th & K St NW,W00829,Member,38.9056997,-77.0056
385,20/09/2010 16:57,20/09/2010 17:04,31101,14th & V St NW,31105,14th & Harvard St NW,W00814,Member,38.9175997,-77.0321
635,20/09/2010 16:57,20/09/2010 17:08,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00958,Member,38.9100997,-77.0444
4839,20/09/2010 16:58,20/09/2010 18:18,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00993,Casual,38.9100997,-77.0444
466,20/09/2010 17:01,20/09/2010 17:09,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00824,Member,38.9100997,-77.0444
892,20/09/2010 17:16,20/09/2010 17:31,31201,15th & P St NW,31600,5th & K St NW,W01113,Casual,38.9098497,-77.034438
451,20/09/2010 17:16,20/09/2010 17:24,31111,10th & U St NW,31201,15th & P St NW,W00850,Member,38.9171997,-77.0259
315,20/09/2010 17:17,20/09/2010 17:23,31109,7th & T St NW,31111,10th & U St NW,W00569,Member,38.9154997,-77.0222
1796,20/09/2010 17:31,20/09/2010 18:01,31208,M St & New Jersey Ave SE,31204,20th & E St NW,W00428,Member,38.8762997,-77.0037
474,20/09/2010 17:33,20/09/2010 17:41,31111,10th & U St NW,31201,15th & P St NW,W01050,Member,38.9171997,-77.0259
1037,20/09/2010 17:35,20/09/2010 17:53,31602,Park Rd & Holmead Pl NW,31400,Georgia & New Hampshire Ave NW,W00903,Member,38.9308232,-77.0315137
729,20/09/2010 17:38,20/09/2010 17:50,31600,5th & K St NW,31202,14th & R St NW,W00829,Member,38.9025842,-77.0556545
466,20/09/2010 17:41,20/09/2010 17:49,31100,19th St & Pennsylvania Ave NW,31201,15th & P St NW,W00968,Member,38.9002997,-77.0429
1440,20/09/2010 17:41,20/09/2010 18:05,31104,Adams Mill & Columbia Rd NW,31205,21st & I St NW,?(0x000000007C120F6A),Member,38.9230444,-77.0425553
507,20/09/2010 17:44,20/09/2010 17:53,31108,4th & M St SW,31208,M St & New Jersey Ave SE,W01007,Member,38.8766997,-77.0178
1811,20/09/2010 17:46,20/09/2010 18:16,31203,14th & Rhode Island Ave NW,31203,14th & Rhode Island Ave NW,W00563,Member,38.9085997,-77.0323
959,20/09/2010 17:47,20/09/2010 18:03,31208,M St & New Jersey Ave SE,31208,M St & New Jersey Ave SE,W00826,Member,38.8762997,-77.0037
1576,20/09/2010 17:50,20/09/2010 18:17,31603,1st & M St NE,31105,14th & Harvard St NW,W00340,Member,38.9056997,-77.0056
462,20/09/2010 17:51,20/09/2010 17:58,31200,Massachusetts Ave & Dupont Circle NW,31100,19th St & Pennsylvania Ave NW,W00842,Member,38.9100997,-77.0444
413,20/09/2010 17:51,20/09/2010 17:58,31108,4th & M St SW,31208,M St & New Jersey Ave SE,W01024,Member,38.8766997,-77.0178
626,20/09/2010 17:52,20/09/2010 18:03,31201,15th & P St NW,31111,10th & U St NW,W00968,Member,38.9098497,-77.034438
595,20/09/2010 17:54,20/09/2010 18:04,31111,10th & U St NW,31600,5th & K St NW,W00958,Member,38.9171997,-77.0259
1382,20/09/2010 17:55,20/09/2010 18:18,31204,20th & E St NW,31600,5th & K St NW,W01058,Member,38.8963209,-77.045018
220,20/09/2010 17:55,20/09/2010 17:59,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00830,Member,38.9232108,-77.0476393
1159,20/09/2010 17:56,20/09/2010 18:15,31600,5th & K St NW,31200,Massachusetts Ave & Dupont Circle NW,W01113,Casual,38.9025842,-77.0556545
